source,target,value
1Hd1mTqyJeZHaW4fgxrRKDLuKiwZMcJz5k,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1000000
1Hd1mTqyJeZHaW4fgxrRKDLuKiwZMcJz5k,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1000000
1Ae6iyuuvmSJBvkEwEUkJDUHWLd9UwVKdE,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,8297583
17ZXviqgTHFa9pW8fCE8tMQogq9h8HvGy7,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1960000
16iD9JLv3h19wStfAZF9mESgSEhNaFBrxF,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1000000
1Hd1mTqyJeZHaW4fgxrRKDLuKiwZMcJz5k,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1000000
1Hd1mTqyJeZHaW4fgxrRKDLuKiwZMcJz5k,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1000000
1BKJ9kQw9Q8VtJ2UtsFMrLbuRsSXbTXH3o,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1970000
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,156009091
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1Adb94GTLUMEVCc1czbG5S7dFyqpLRe8iU,144240909
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1LKMY5rNdk6jGTvyW1DJrsE9CD6oghjQ73,152406583
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1P18JptJSKo7TL4uuG8kKRZibrMKbXWQr2,10000
1NApy7zHJpJu8oddHhyM6wcsresGf39MSK,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,11509130
1LDr3XYwwKgWim8dqTFQXLpHEfW8BqmTEV,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,11552200
1DWzSUeubtQfcj4EpBoKaySpvaev2PevgT,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1283430
1MALTBaGu4wrCthcc8zxK5ag5GZL1hJttA,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,8907847
1JM6CFQoL8sYiyGoSxk3NbKoB7Aw7F6beh,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,11502400
1KwEcsaFdNuAdJD3Y9yaChqSYt97PgTqFo,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1280330
15D5qxA6MhHGnwne1zQ6rstcBRPr2QUgvq,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1293180
12wfq43e85XMrPxmWzytYRMaMwpuCYLkB5,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,11478820
15MgYswERMg2jzFkEi7PWCKszrAf6VQPgw,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,11350000
